kfg_id,parent_name,parent_val,children_sum,n_children,n_nonzero_children,n_zero_children,children_mean,children_max,ratio,compliance_class
KH0028,p48s1,1,1,1,1,0,1.0,1,1.0,compliant
KH0028,p49,8,5,2,2,0,2.5,4,0.625,partial_sub
KH0028,p49s1,1,1,1,1,0,1.0,1,1.0,compliant
KH0028,p5,24,4,2,2,0,2.0,2,0.16666666666666666,sub
KH0028,p50,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p51,9,5,2,2,0,2.5,4,0.5555555555555556,partial_sub
KH0028,p51s1,1,1,1,1,0,1.0,1,1.0,compliant
KH0028,p52,8,5,2,2,0,2.5,4,0.625,partial_sub
KH0028,p52s1,1,1,1,1,0,1.0,1,1.0,compliant
KH0028,p53,8,5,2,2,0,2.5,4,0.625,partial_sub
KH0028,p53s1,1,1,1,1,0,1.0,1,1.0,compliant
KH0028,p54,8,5,2,2,0,2.5,4,0.625,partial_sub
KH0028,p54s1,1,1,1,1,0,1.0,1,1.0,compliant
KH0028,p55,2,3,2,2,0,1.5,2,1.5,partial_supra
KH0028,p56,2,3,2,2,0,1.5,2,1.5,partial_supra
KH0028,p57,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p58,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p59,2,0,1,0,1,0.0,0,0.0,children_all_zero
KH0028,p6,24,4,2,2,0,2.0,2,0.16666666666666666,sub
KH0028,p60,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p61,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p62,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p63,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p64,2,0,1,0,1,0.0,0,0.0,children_all_zero
KH0028,p65,2,0,1,0,1,0.0,0,0.0,children_all_zero
KH0028,p66,8,1,1,1,0,1.0,1,0.125,sub
KH0028,p67,8,1,1,1,0,1.0,1,0.125,sub
KH0028,p69,8,1,1,1,0,1.0,1,0.125,sub
KH0028,p7,24,2,2,1,1,1.0,2,0.08333333333333333,sub
KH0028,p70,8,1,1,1,0,1.0,1,0.125,sub
KH0028,p71,8,1,1,1,0,1.0,1,0.125,sub
KH0028,p72,8,1,1,1,0,1.0,1,0.125,sub
KH0028,p73,8,0,1,0,1,0.0,0,0.0,children_all_zero
