color_code,n_entries,pct_entries,n_khipus,pct_khipus
SY(5.0-7.0)/W(7.0-34.5),3,0.003934013480552861,2,0.2820874471086037
W^KG,3,0.003934013480552861,1,0.14104372355430184
0G(5.0-7.0)/W(7.0-35.5),3,0.003934013480552861,1,0.14104372355430184
W(0.0-6.0)/W-B,3,0.003934013480552861,1,0.14104372355430184
RL-GG,3,0.003934013480552861,2,0.2820874471086037
DB(0.0-3.0)/W(3.0-42.0),3,0.003934013480552861,1,0.14104372355430184
YB-B,3,0.003934013480552861,3,0.4231311706629055
RB(0.0-0.0)/KB(0.0-0.0),3,0.003934013480552861,1,0.14104372355430184
YB-PB,3,0.003934013480552861,3,0.4231311706629055
BY-HB,3,0.003934013480552861,1,0.14104372355430184
SR-G0,3,0.003934013480552861,1,0.14104372355430184
KB(5.0-7.0)/KB(7.0-32.0),3,0.003934013480552861,1,0.14104372355430184
W-GL,3,0.003934013480552861,2,0.2820874471086037
BS(5.0-7.0)/W(7.0-37.0),3,0.003934013480552861,1,0.14104372355430184
RB(0.0-0.0)/HB(0.0-0.0),3,0.003934013480552861,1,0.14104372355430184
AB(0.0-1.5)/W-AB(1.5-29.0),3,0.003934013480552861,1,0.14104372355430184
W(0.0-6.0)/W,3,0.003934013480552861,2,0.2820874471086037
W(0.0-23.0)/MB,3,0.003934013480552861,1,0.14104372355430184
MB(0.0-6.0)/W(6.0-34.0),3,0.003934013480552861,1,0.14104372355430184
MB(0.0-0.0)/AB(0.0-0.0)/MB(0.0-0.0),3,0.003934013480552861,1,0.14104372355430184
YB-PG,3,0.003934013480552861,1,0.14104372355430184
0G(5.0-7.0)/W(7.0-36.5),3,0.003934013480552861,2,0.2820874471086037
0G(5.0-7.0)/W(7.0-37.0),3,0.003934013480552861,1,0.14104372355430184
SY(5.0-7.0)/W(7.0-38.0),3,0.003934013480552861,2,0.2820874471086037
MB(0.0-0.0)/KB(0.0-0.0),3,0.003934013480552861,1,0.14104372355430184
BB(0.0-4.5)/W(4.5-43.0),3,0.003934013480552861,1,0.14104372355430184
W(0.0-4.0)/W,3,0.003934013480552861,1,0.14104372355430184
MB(0.0-0.0)/W(0.0-0.0),3,0.003934013480552861,2,0.2820874471086037
MB(0.0-7.0)/W(7.0-32.0),3,0.003934013480552861,1,0.14104372355430184
B-LD,3,0.003934013480552861,1,0.14104372355430184
BS(5.0-7.0)/W(7.0-35.0),3,0.003934013480552861,2,0.2820874471086037
NB-TG,3,0.003934013480552861,1,0.14104372355430184
FB(0.0-2.0)/FB(2.0-44.0),3,0.003934013480552861,1,0.14104372355430184
W-EB,3,0.003934013480552861,2,0.2820874471086037
AB%GR,3,0.003934013480552861,2,0.2820874471086037
